"","PID.FU","Percent.Distract","dprime_Distract","dprime_Reapp","Accuracy","ERQ_Reapp.FU","Gender","Age","ERQ_Supp.FU","DERS.FU","DERS.Nonaccept.FU","DERS.DiffGoal.FU","DERS.Impulse.FU","DERS.LimitAccess.FU","DERS.LackClarity.FU","IUS.FU","IUS_F1.FU","IUS_F2.FU","ERQ_Reapp.Diff.abs.avg","ERQ_Supp.Diff.abs.avg","ERQ_Reapp.Diff.abs.z.avg","ERQ_Supp.Diff.abs.z.avg"
"P001","P001",0.269230769230769,0.556653098983961,-0.965982388578525,0.384615384615385,35,"Non-binary / third gender","24",9,75,15,13,14,14,10,32,21,11,5.36746987951807,4.03012048192771,-0.0887997925389517,-0.498002896955012
"P002","P002",0.269230769230769,0.425014494458033,-1.04622229676827,0.358974358974359,36,"Male","22",8,65,11,15,8,11,8,32,23,9,6.15060240963855,4.52409638554217,0.0822220301286588,-0.382551886843278
"P003","P003",0.487179487179487,0.679997426747021,-0.841535385872298,0.474358974358974,30,"Male","24",23,106,10,21,16,30,8,43,22,21,4.24698795180723,10.7168674698795,-0.333492554201841,1.06480955699651
"P004","P004",0.692307692307692,0.63975730208649,-1.15368393392273,0.5,23,"Female","54",12,80,6,20,7,19,12,42,29,13,7.62048192771084,3.53614457831325,0.403216835750943,-0.613453907066746
"P005","P005",0.615384615384615,0.83852045495266,-0.690317186758646,0.551282051282051,36,"Female","33",21,62,12,12,6,13,9,45,27,18,6.15060240963855,8.76506024096386,0.0822220301286588,0.60863727314039
"P006","P006",0.371794871794872,0.440114765628127,-1.04358092923417,0.384615384615385,27,"Male","33",20,79,14,10,10,16,11,30,22,8,5.19879518072289,7.83734939759036,-0.125635262036591,0.391814644393963
"P007","P007",0.653846153846154,0.853004350495354,-0.687883479345257,0.564102564102564,37,"Male","21",11,87,12,22,11,20,10,26,21,5,6.93373493975904,3.63253012048193,0.253243852796269,-0.590926880703481
"P008","P008",0.512820512820513,0.841535385872298,-0.679997426747021,0.525641025641026,32,"Female","24",12,79,11,17,11,20,9,37,23,14,4.05421686746988,3.53614457831325,-0.375590233627714,-0.613453907066746
"P009","P009",0.474358974358974,0.739191322179004,-0.782341490440315,0.487179487179487,34,"Male","21",22,117,21,20,15,25,20,42,25,17,4.60843373493976,9.74096385542169,-0.254559405278328,0.83672341506845
"P010","P010",0.397435897435897,0.727868111941345,-0.806042523367462,0.461538461538462,34,"Female","44",10,42,6,6,8,9,6,31,25,6,4.60843373493976,3.80120481927711,-0.254559405278328,-0.551504584567767
"P011","P011",0.269230769230769,0.697775559202116,-0.887759322347693,0.41025641025641,26,"Male","30",20,103,21,12,13,25,13,30,16,14,5.69277108433735,7.83734939759036,-0.0177599585077904,0.391814644393963
"P012","P012",0.474358974358974,0.837178064595605,-0.692972916438673,0.512820512820513,28,"Female","18",23,119,22,10,15,25,23,44,27,17,4.84939759036145,10.7168674698795,-0.201937305995986,1.06480955699651
"P013","P013",0.538461538461538,0.908031173457612,-0.609457461190873,0.551282051282051,30,"Male","24",24,123,29,21,12,31,15,40,24,16,4.24698795180723,11.7168674698795,-0.333492554201841,1.29852745551539
"P014","P014",0.538461538461538,1.21343456892822,-0.34056262111143,0.628205128205128,33,"Female","26",23,80,14,15,7,15,13,41,24,17,4.2710843373494,10.7168674698795,-0.328230344273606,1.06480955699651
"P015","P015",0.487179487179487,0.973694519145251,-0.571696270287214,0.551282051282051,33,"Male","53",6,65,9,21,6,8,10,26,13,13,4.2710843373494,6.30722891566265,-0.328230344273606,0.034198100877128
"P016","P016",0.384615384615385,0.690317186758646,-0.83852045495266,0.448717948717949,42,"Male","35",21,88,16,15,14,27,5,44,25,19,11.7771084337349,8.76506024096386,1.31094804837134,0.60863727314039
"P017","P017",0.512820512820513,0.938390101075854,-0.589348933490744,0.551282051282051,33,"Female","28",15,75,15,18,7,15,7,27,21,6,4.2710843373494,4.54819277108434,-0.328230344273606,-0.376920130252462
"P018","P018",0.653846153846154,1.10786451588885,-0.3557769343205,0.641025641025641,33,"Female","19",15,153,28,24,26,33,20,44,24,20,4.2710843373494,4.54819277108434,-0.328230344273606,-0.376920130252462
"P019","P019",0.41025641025641,0.659172062981825,-0.858697190051963,0.448717948717949,42,"Female","33",6,45,12,6,8,8,5,33,25,8,11.7771084337349,6.30722891566265,1.31094804837134,0.034198100877128
"P020","P020",0.653846153846154,0.935279772774363,-0.57227389890108,0.58974358974359,32,"Female","24",11,62,8,10,7,14,9,23,16,7,4.05421686746988,3.63253012048193,-0.375590233627714,-0.590926880703481
"P021","P021",0.346153846153846,0.687883479345257,-0.853004350495354,0.435897435897436,28,"Female","37",15,76,21,11,8,12,7,22,14,8,4.84939759036145,4.54819277108434,-0.201937305995986,-0.376920130252462
"P022","P022",0.333333333333333,0.90607694182996,-0.726883871934179,0.474358974358974,15,"Male","69",21,94,10,15,10,24,13,38,25,13,15.2228915662651,8.76506024096386,2.06344406810882,0.60863727314039
"P023","P023",0.5,1.00708615003537,-0.536694266806244,0.564102564102564,30,"Male","23",26,127,11,24,19,29,23,41,29,12,4.24698795180723,13.7168674698795,-0.333492554201841,1.76596325255314
"P024","P024",0.551282051282051,0.84883727802563,-0.668651356622855,0.538461538461538,27,"Male","28",24,89,14,14,14,22,8,38,24,14,5.19879518072289,11.7168674698795,-0.125635262036591,1.29852745551539
"P025","P025",0.602564102564103,0.806042523367462,-0.727868111941345,0.538461538461538,29,"Female","29",20,102,14,16,17,26,11,30,18,12,4.51204819277108,7.83734939759036,-0.275608244991265,0.391814644393963
"P026","P026",0.397435897435897,0.727868111941345,-0.806042523367462,0.461538461538462,30,"Female","39",12,81,16,17,10,19,11,40,25,15,4.24698795180723,3.53614457831325,-0.333492554201841,-0.613453907066746
"P027","P027",0.474358974358974,0.739191322179004,-0.782341490440315,0.487179487179487,34,"Female","24",19,90,17,21,11,21,10,51,31,20,4.60843373493976,6.92168674698795,-0.254559405278328,0.177807893942944
"P028","P028",0.423076923076923,1.03035157645836,-0.576042541167693,0.538461538461538,30,"Male","52",17,111,29,18,12,24,10,31,23,8,4.24698795180723,5.62048192771084,-0.333492554201841,-0.126306961961136
"P029","P029",0.435897435897436,0.732114440936289,-0.793190788250323,0.474358974358974,36,"Female","41",20,74,9,12,13,17,7,43,28,15,6.15060240963855,7.83734939759036,0.0822220301286588,0.391814644393963
"P030","P030",0.461538461538462,0.517674009412846,-1.004351559883,0.423076923076923,29,"Female","57",9,64,7,13,10,12,8,20,13,7,4.51204819277108,4.03012048192771,-0.275608244991265,-0.498002896955012
"P031","P031",0.564102564102564,0.707431964870631,-0.836348451970987,0.5,33,"Male","30",13,111,24,20,21,24,8,44,27,17,4.2710843373494,3.68072289156627,-0.328230344273606,-0.579663367521848
